"id","alias","descrip","other"
"AKT3","MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2","v-akt murine thymoma viral oncogene homolog 3","PKB gamma|RAC-gamma serine/threonine protein kinase|RAC-gamma serine/threonine-protein kinase|v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
"ZBTB11-AS1","","ZBTB11 antisense RNA 1",""
"CDH2","CD325, CDHN, CDw325, NCAD","cadherin 2, type 1, N-cadherin (neuronal)","N-cadherin 1|cadherin-2|calcium-dependent adhesion protein, neuronal|neural cadherin"
"MED6","ARC33, NY-REN-28","mediator complex subunit 6","CTD-2540L5.5|activator-recruited cofactor 33 kDa component|mediator of RNA polymerase II transcription subunit 6|renal carcinoma antigen NY-REN-28"
"NR2E3","ESCS, PNR, RNR, RP37, rd7","nuclear receptor subfamily 2, group E, member 3","photoreceptor-specific nuclear receptor|retina-specific nuclear receptor"
"NAALAD2","GCPIII, GPCIII, NAADALASE2, NAALADASE2","N-acetylated alpha-linked acidic dipeptidase 2","N-acetylated alpha-linked acidic dipeptidase II|N-acetylated-alpha-linked acidic dipeptidase 2|N-acetylated-alpha-linked acidic dipeptidase II|NAALADase II|glutamate carboxypeptidase III"
"NAALADL1","I100, NAALADASEL","N-acetylated alpha-linked acidic dipeptidase-like 1","100 kDa ileum brush border membrane protein|N-acetylated-alpha-linked acidic dipeptidase-like protein|NAALADase L|ileal dipeptidylpeptidase|ileal peptidase I100"
"CDKN2B-AS1","ANRIL, CDKN2B-AS, CDKN2BAS, NCRNA00089, PCAT12, p15AS","CDKN2B antisense RNA 1","CDKN2B antisense RNA 1 (non-protein coding)|antisense noncoding RNA in the INK4 locus|p15 antisense RNA|prostate cancer associated transcript 12"
"LOC100049716","","uncharacterized LOC100049716",""
"ACOT8","HNAACTE, PTE-1, PTE-2, PTE1, PTE2, hACTE-III, hTE","acyl-CoA thioesterase 8","HIV-Nef associated acyl-CoA thioesterase|acyl-coenzyme A thioesterase 8|choloyl-CoA hydrolase|choloyl-coenzyme A thioesterase|long-chain fatty-acyl-CoA hydrolase|palmitoyl-CoA hydrolase|peroxisomal acyl-CoA thioesterase 1|peroxisomal acyl-coenzyme A thioester hydrolase 1|peroxisomal long-chain acyl-CoA thioesterase 1|thioesterase II|thioesterase III"
"ABI1","ABI-1, ABLBP4, E3B1, NAP1BP, SSH3BP, SSH3BP1","abl-interactor 1","Abelson interactor 1|Abl-interactor protein 1 long|abl interactor 1|abl-binding protein 4|eps8 SH3 domain-binding protein|interactor protein AblBP4|nap1 binding protein|spectrin SH3 domain-binding protein 1"
"GNPDA1","GNP1, GNPDA, GNPI, GPI, HLN","glucosamine-6-phosphate deaminase 1","GNPDA 1|glcN6P deaminase 1|glucosamine-6-phosphate isomerase 1|oscillin"
"KCNE3","HOKPP, HYPP, MiRP2","potassium channel, voltage gated subfamily E regulatory beta subunit 3","cardiac voltage-gated potassium channel accessory subunit|minK-related peptide 2|minimum potassium ion channel-related peptide 2|potassium channel subunit beta MiRP2|potassium voltage-gated channel subfamily E member 3|potassium voltage-gated channel, Isk-related family, member 3|voltage-gated K+ channel subunit MIRP2"
"ZBTB33","ZNF-kaiso, ZNF348","zinc finger and BTB domain containing 33","WUGSC:H_DJ525N14.1|kaiso transcription factor|transcriptional regulator Kaiso|zinc finger and BTB domain-containing protein 33"
"SNHG8","LINC00060, NCRNA00060","small nucleolar RNA host gene 8","long intergenic non-protein coding RNA 60|small nucleolar RNA host gene (non-protein coding) 8|small nucleolar RNA host gene 8 (non-protein coding)"
"GS1-600G8.3","","unknown transcript",""
"ADA","","adenosine deaminase","adenosine aminohydrolase|mutant adenosine deaminase"
"TANK","I-TRAF, ITRAF, TRAF2","TRAF family member-associated NFKB activator","TRAF family member-associated NF-kappa-B activator|TRAF-interacting protein"
"HAVCR1P1","","hepatitis A virus cellular receptor 1 pseudogene 1",""
"ZSCAN30","ZNF-WYM, ZNF397OS, ZNF917","zinc finger and SCAN domain containing 30","ZNF397 opposite strand|zinc finger and SCAN domain-containing protein 30|zinc finger protein 397 opposite strand|zinc finger protein 397OS"
"ANKRD26P3","LINC00414","ankyrin repeat domain 26 pseudogene 3","long intergenic non-protein coding RNA 414"
"CDH3","CDHP, HJMD, PCAD","cadherin 3, type 1, P-cadherin (placental)","cadherin-3|calcium-dependent adhesion protein, placental"
"SRA1","SRA, SRAP, STRAA1, pp7684","steroid receptor RNA activator 1","steroid receptor RNA activator 1 (complexes with NCOA1)|steroid receptor RNA activator protein|steroid receptor coactivator"
"TMEM170B","","transmembrane protein 170B",""
"HOTAIR","HOXAS, HOXC-AS4, HOXC11-AS1, NCRNA00072","HOX transcript antisense RNA","HOX transcript antisense RNA (non-protein coding)|HOXC cluster antisense RNA 4 (non-protein coding)|hox transcript antisense intergenic RNA"
"ZGLP1","GATAD3, GLP-1, GLP1","zinc finger, GATA-like protein 1","GATA like protein 1|GATA like protein-1|GATA zinc finger domain containing 3|GATA-like protein 1|GATA-type zinc finger protein 1"
"LOC100125871","","hypothetical protein LOC100125871",""
"LOC100126784","","uncharacterized LOC100126784",""
"EGOT","EGO, NCRNA00190","eosinophil granule ontogeny transcript (non-protein coding)",""
