"gene_name","hprd_id","mol_class","mol_fun","bio_pro","gene_id"
"A2M","HPRD:00072","Protease inhibitor","Protease inhibitor activity","Protein metabolism","2"
"ACADVL","HPRD:01940","Enzyme: Dehydrogenase","Catalytic activity","Energy pathways","37"
"ADAM9","HPRD:04091","Metallo protease","Metallopeptidase activity","Protein metabolism","8754"
"ADRM1","HPRD:06440","Cell surface receptor ","Receptor activity","Cell communication ; Signal transduction","11047"
"AEBP1","HPRD:04281","Transcription regulatory protein","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","165"
"AHCY","HPRD:01621","Enzyme: Hydrolase ","Hydrolase activity","Metabolism ; Energy pathways","191"
"AIM2","HPRD:05202","Unclassified","Molecular function unknown","Immune response","9447"
"AKT1","HPRD:01261","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction","207"
"ALDH7A1","HPRD:00124","Enzyme: Oxidoreductase","Oxidoreductase activity","Metabolism ; Energy pathways","501"
"ALOX12","HPRD:01066","Enzyme: Lipase","Lipase activity","Metabolism ; Energy pathways","239"
"ALOX12B","HPRD:04772","Enzyme: Oxidoreductase","Oxidoreductase activity","Metabolism ; Energy pathways","242"
"ANG","HPRD:00105","Ribonuclease","Ribonuclease activity","Regulation of nucleobase,nucleoside,nucleotide and nucleicacid metabolism","283"
"ANLN","HPRD:09799","Structural protein ","Structural molecule activity","Cell growth and/or maintenance","54443"
"ANXA1","HPRD:01060","Calcium binding protein","Calcium ion binding","Cell communication ; Signal transduction","301"
"ANXA2","HPRD:01061","Calcium binding protein","Calcium ion binding","Cell communication ; Signal transduction","302"
"ANXA4","HPRD:00112","Calcium binding protein","Calcium ion binding","Cell communication ; Signal transduction","307"
"ANXA8","-","-","-","-","653145"
"APC","HPRD:01439","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction","324"
"APLP2","HPRD:00103","Integral membrane protein","Protein binding","Cell communication ; Signal transduction","334"
"APOC1","HPRD:00131","Transport/cargo protein ","Transporter activity","Transport","341"
"APOD","HPRD:00134","Transport/cargo protein ","Transporter activity","Transport","347"
"APOL2","HPRD:06263","Transport/cargo protein","Transporter activity","Metabolism ; Energy pathways","23780"
"AQP3","HPRD:08970","Water channel","Water channel activity","Transport","360"
"ARHGAP12","HPRD:06446","GTPase activating protein","GTPase activator activity","Cell communication ; Signal transduction","94134"
"ARHGAP8","HPRD:06448","GTPase activating protein ","GTPase activator activity","Cell migration","23779"
"ASXL1","HPRD:16516","Transcription regulatory protein ","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","171023"
"ATIC","HPRD:03434","Enzyme: Hydrolase","Hydrolase activity","Metabolism ; Energy pathways","471"
"ATP9A","HPRD:18541","ATPase ","ATPase activity","Regulation of enzyme activity","10079"
"B4GALT5","HPRD:06807","Enzyme: Galactosyltransferase","Galactosyltransferase activity","Metabolism ; Energy pathways","9334"
"BAG1","HPRD:03292","Transcription factor","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","573"
"BANF1","HPRD:04817","DNA binding protein","DNA binding","unknown","8815"
"BASP1","HPRD:08389","Transcription regulatory protein ","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","10409"
"BAT2L2","HPRD:16539","Unclassified","Molecular function unknown","Biological_process unknown","23215"
"BCL2","HPRD:01045","Adapter molecule","Receptor signaling complex scaffold activity","Apoptosis","596"
"BCL2L1","HPRD:02497","Adapter molecule","Receptor signaling complex scaffold activity","Apoptosis","598"
"BCL2L2","HPRD:03569","Adapter molecule","Adapter molecule","Adapter molecule","599"
"BICD2","HPRD:09826","Structural protein","Protein binding","Vesicle-mediated transport","23299"
"BIRC5","HPRD:04520","Adapter molecule ","Receptor signaling complex scaffold activity","Cell communication ; Signal transduction","332"
"BLU","HPRD:06145","Unclassified","Molecular function unknown","Biological_process unknown","51364"
"BNIP3","HPRD:04482","Unclassified","Molecular function unknown","Apoptosis","664"
"BRAF","HPRD:01264","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction","673"
"BRCA1","HPRD:00218","Transcription regulatory protein ","Transcription regulator activity","Regulation of gene expression, epigenetic","672"
"BRD9","HPRD:12532","Unclassified ","Molecular function unknown","Biological_process unknown","65980"
"BST2","HPRD:02759","Integral membrane protein","Molecular function unknown","Immune response","684"
"BRIX1","HPRD:16563","Unclassified ","Molecular function unknown","Biological_process unknown","55299"
"BZW2","HPRD:16571","Translation regulatory protein","Translation regulator activity","Protein metabolism","28969"
"C13ORF18","HPRD:12615","Unclassified","Molecular function unknown","Biological_process unknown","80183"
"C15orf48","HPRD:16332","Unclassified","Molecular function unknown","Biological_process unknown","84419"
"C1QBP","HPRD:03168","Complement receptor","Complement receptor activity","Immune response","708"
"C20orf20","HPRD:16646","Transcription regulatory protein","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","55257"
"C20orf30","HPRD:12762","Integral membrane protein","Molecular function unknown","Biological_process unknown","29058"
"C3","HPRD:00400","Complement protein","Complement activity","Immune response","718"
"C4orf41","HPRD:10968","Unclassified ","Molecular function unknown","Biological_process unknown","60684"
"C5orf22","HPRD:07740","Unclassified ","Molecular function unknown","Biological_process unknown","55322"
"C5orf28","HPRD:07965","Unclassified ","Molecular function unknown","Biological_process unknown","64417"
"CACYBP","HPRD:07316","Ubiquitin proteasome system protein","Molecular function unknown","Protein metabolism","27101"
"CADM1","HPRD:05746","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction","23705"
"CALCA","HPRD:00238","Peptide hormone","Hormone activity","Regulation of physiological process","796"
"CAMKK2","HPRD:06467","Enzyme: Phosphorylase","Phosphorylase activity","Calcium-mediated signaling ; Regulation of enzyme activity","10645"
"CAMKV","HPRD:11361","Unclassified","Molecular function unknown","Biological_process unknown","79012"
"CCNA1","HPRD:04946","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction","8900"
"CCNB1","HPRD:00454","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction","891"
"CCND1","HPRD:01346","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction","595"
"CCND2","HPRD:00451","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction","894"
"CCNE1","HPRD:00455","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction","898"
"CCR2","-","-","-","-","729230"
"CD28","HPRD:01727","Cell surface receptor","Receptor activity","Immune response","940"
"CD44","HPRD:00115","Cell surface receptor ","Receptor activity","Cell communication ; Signal transduction","960"
"CD63","HPRD:01121","Integral membrane protein","unknown","Cell communication; Signal transduction Isoform1","967"
"CD83","HPRD:05170","Unclassified","Molecular function unknown","Immune response","9308"
"CDA","HPRD:11744","Enzyme: Deaminase","Deaminase activity","Metabolism ; Energy pathways","978"
"CDC40","HPRD:05721","Transcription regulatory protein ","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","51362"
"CDH1","HPRD:01885","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction","999"
"CDH11","HPRD:08960","Cell junction protein ","Cell adhesion molecule activity","Cell growth and/or maintenance","1009"
"CDH13","HPRD:03219","Adhesion molecule","Cell adhesion molecule activity","Cell growth and/or maintenance","1012"
"CDH15","HPRD:00225","Adhesion molecule","Cell adhesion molecule activity","Cell growth and/or maintenance","1013"
"CDH2","HPRD:00226","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction","1000"
"CDH3","HPRD:00227","Adhesion molecule","Cell adhesion molecule activity","Cell adhesion molecule activity","1001"
"CDH4","HPRD:04304","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction","1002"
"CDK2","HPRD:00310","Cell cycle control protein ","Kinase activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1017"
"CDK6","HPRD:04533","Cell cycle control protein","Protein binding","Cell communication ; Signal transduction","1021"
"CDKN1A","HPRD:00298","Cell cycle control protein","Kinase regulator activity","Regulation of cell cycle","1026"
"CDKN1B","HPRD:02867","Cell cycle control protein ","Kinase regulator activity","Cell communication ; Signal transduction","1027"
"CDKN2A","HPRD:02542","Cell cycle control protein","Kinase regulator activity","Cell communication ; Signal transduction","1029"
"CDKN2B","HPRD:02696","Cell cycle control protein","Kinase regulator activity","Cell communication ; Signal transduction","1030"
"CEACAM1","HPRD:00191","Adhesion molecule ","Molecular function unknown","Signal transduction","634"
"CEACAM5","HPRD:00274","Adhesion molecule","Cell adhesion molecule activity","Immune response","1048"
"CEACAM6","HPRD:01233","Adhesion molecule","Cell adhesion molecule activity","Cell communication;Signal transduction","4680"
"CEACAM7","HPRD:07629","Unclassified","unknown","Cell communication; Signal transduction","1087"
"CEBPB","HPRD:01801","Transcription factor","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1051"
"CELA2A","HPRD:06495","Protease","Peptidase activity","Protein metabolism","63036"
"CELSR1","HPRD:05160","G protein coupled receptor","G-protein coupled receptor activity","Cell communication ; Signal transduction","9620"
"CES1","HPRD:00268","Enzyme: Esterase","Hydrolase activity","Metabolism","1066"
"CHFR","-","-","-","-","55743"
"CITED2","HPRD:04245","Transcription regulatory protein","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","10370"
"CKS2","HPRD:00300","Cell cycle control protein","Molecular function unknown","Cell communication ; Signal transduction","1164"
"CLDN1","HPRD:04760","Cell junction protein ","Cell adhesion molecule activity","Cell growth and/or maintenance","9076"
"CLEC2B","HPRD:09129","Adhesion molecule","Cell adhesion molecule activity","Cell communication;Signal transduction","9976"
"CLIC3","HPRD:05941","Intracellular ligand gated channel","Intracellular ligand-gated ion channel activity","Transport","9022"
"CNOT1","HPRD:11999","Transcription regulatory protein","Transcription regulator activity","Transcription","23019"
"COL1A1","HPRD:00362","Extracellular matrix protein","Extracellular matrix structural constituent","Cell growth and/or maintenance","1277"
"CPE","HPRD:00272","Carboxypeptidase","Carboxypeptidase activity","Protein metabolism","1363"
"CPEB1","HPRD:09553","RNA binding protein","RNA binding","Protein metabolism","64506"
"CPEB3","HPRD:16745","Unclassified ","Molecular function unknown","Biological_process unknown","22849"
"CR1","HPRD:00398","Complement receptor","Complement receptor activity","Immune response","1378"
"CRABP2","HPRD:08353","Transcription regulatory protein","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleicacid metabolism","1382"
"CRCT1","HPRD:16635","Unclassified","Molecular function unknown","Biological_process unknown","54544"
"CRISP3","HPRD:11788","Extracellular matrix protein","Extracellular matrix structural constituent","Immune response","10321"
"CRNN","HPRD:12720","Heat shock protein","Heat shock protein activity","Protein metabolism","49860"
"CRYAB","HPRD:00428","Heat shock protein","Heat shock protein activity","Protein metabolism","1410"
"CSE1L","HPRD:03217","Transport/cargo protein","Transporter activity","Transport","1434"
"CSF1","HPRD:00388","Cytokine","Cytokine activity","Immune response","1435"
"CSF1R","HPRD:01269","Receptor tyrosine kinase ","Transmembrane receptor protein tyrosine kinase activity","Cell communication ; Signal transduction","1436"
"CTGF","HPRD:00412","Extracellular matrix protein","Extracellular matrix structural constituent","Cell growth and/or maintenance","1490"
"CTNNB1","HPRD:00286","Adhesion molecule ","Cell adhesion molecule activity","Cell communication ; Signal transduction","1499"
"CTSC","HPRD:03841","Cysteine protease","Cysteine-type peptidase activity","Protein metabolism","1075"
"CTSF","HPRD:04643","Cysteine protease","Cysteine-type peptidase activity","Protein metabolism","8722"
"CTSH","HPRD:00288","Cysteine protease","Cysteine-type peptidase activity","Protein metabolism","1512"
"CTSL1","HPRD:00293","Cysteine protease","Cysteine-type peptidase activity","Protein metabolism","1514"
"CTSS","HPRD:00292","Cysteine protease","Cysteine-type peptidase activity","Protein metabolism","1520"
"CUEDC1","HPRD:13098","Ubiquitin proteasome system protein ","Ubiquitin-specific protease activity","Protein metabolism","404093"
"CWH43","HPRD:08638","Unclassified","Molecular function unknown","Biological_process unknown","80157"
"CYBA","HPRD:01989","Enzyme: Oxidase ","Catalytic activity","Metabolism ; Energy pathways","1535"
"CXCR2","HPRD:00907","G protein coupled receptor","G-protein coupled receptor activity","Cell communication ; Signal transduction","3579"
"CYR61","HPRD:09089","Extracellular matrix protein ","Extracellular matrix structural constituent","Cell communication ; Signal transduction","3491"
"DAP3","HPRD:03646","Ribosomal subunit","Ribonucleoprotein","Apoptosis","7818"
"DAPK1","HPRD:02902","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction","1612"
"DDIT3","HPRD:00529","Transcription factor","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1649"
"DDOST","HPRD:03728","Enzyme: Galactosyltransferase","Galactosyltransferase activity","Metabolism ; Energy pathways","1650"
"DDX27","HPRD:10859","RNA helicase ","Helicase activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","55661"
"DEK","HPRD:00503","DNA binding protein ","DNA binding","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","7913"
"DHFR","HPRD:00519","Enzyme: Oxidoreductase","Oxidoreductase activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1719"
"DLC1","HPRD:05035","GTPase activating protein","GTPase activator activity","Regulation of cell proliferation ; Apoptosis ; Regulation of cell growth","10395"
"DMC1","HPRD:4099","DNA binding protein","DNA binding","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","11144"
"DNAJC9","HPRD:13237","Chaperone","Chaperone activity","Protein metabolism","23234"
"DNMT1","HPRD:00532","DNA methyltransferase","DNA-methyltransferase activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1786"
"DNMT3L","HPRD:09417","DNA methyltransferase","Transcription regulator activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","29947"
"DSG1","HPRD:00515","Cell junction protein","Cell adhesion molecule activity","Cell growth and/or maintenance","1828"
"DSG2","HPRD:00516","Adhesion molecule","Cell adhesion molecule activity","Cell growth and/or maintenance","1829"
"DTL","HPRD:17952","Unclassified","Molecular function unknown","Biological_process unknown","51514"
"DUSP1","HPRD:02835","Dual specificity phosphatase ","Protein tyrosine/serine/threonine phosphatase activity","Cell communication ; Signal transduction","1843"
"DUSP26","HPRD:14421","Dual specificity phosphatase ","Protein tyrosine/serine/threonine phosphatase activity","Cell communication ; Signal transduction","78986"
"DUT","HPRD:3165","Enzyme: Hydrolase","Hydrolase activity","DNA replication","1854"
"E2F1","HPRD:01806","Transcription factor","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1869"
"E2F2","HPRD:02692","Transcription factor ","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1870"
"E2F3","HPRD:02693","Transcription factor ","Transcription factor activity","Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism","1871"
