"gene_name","protein_id","mrna_id","ccds_id","ec_num","trembl_id","swissprot_id"
"A2M","NP_000005.2","NM_000014.4","44827.1","-","-","P01023"
"ACADVL","NP_000009.1","NM_000018.2","11090.1","1.3.99.-","-","P49748 "
"ACADVL","NP_001029031.1","NM_001033859.1","42249.1","1.3.99.-","-","P49748 "
"ADAM9","NP_003807.1","NM_003816.2","6112.1","-","-","Q13443"
"ADAM9","NP_001005845.1","NM_001005845.1","43734.1","-","-","-"
"ADRM1","NP_008933.2","NM_007002.2","13496.1","-","-","Q16186"
"ADRM1","NP_783163.1","NM_175573.1","13496.1","-","-","Q16186"
"AEBP1","NP_001120.3","NM_001129.3","5476.1","-","-","Q8IUX7"
"AHCY","NP_000678.1","NM_000687.1","13233.1","3.3.1.1","B3KUN3","P23526"
"AIM2","NP_004824.1","NM_004833.1","1181.1","-","-","O14862"
"AKT1","NP_001014431.1","NM_001014431.1","9994.1","2.7.11.1","B0LPE5 ","P31749"
"AKT1","NP_001014432.1","NM_001014432.1","9994.1","2.7.11.1","B0LPE5 ","P31749"
"AKT1","NP_005154.2","NM_005163.2","9994.1","2.7.11.1","BOLPE5/ B3","P31749"
"ALDH7A1","NP_001173.2","NM_001182.3","4137.2","1.2.1.3; 1.2.1.31; 1.2.1.8","-","P49419"
"ALOX12","NP_000688.2","NM_000697.2","11084.1","1.13.11.31","-","P18054 "
"ALOX12B","NP_001130.1","NM_001139.2","11129.1","1.13.11.-","-","O75342 "
"ANG","NP_001091046.1","NM_001097577.2","9554.1","3.1.27.-","Q53X86","P03950"
"ANG","NP_001136.1","NM_001145.4","9554.1","3.1.27.-","Q53X86","P03950"
"ANLN","NP_061155.2","NM_018685.2","5447.1","-","-","Q9NQW6"
"ANXA1","NP_000691.1","NM_000700.1","6645.1","-","Q5TZZ9","P04083"
"ANXA2","NP_001002857.1","NM_001002857.1","10175.1","-","-","P07355"
"ANXA2","NP_001002858.1","NM_001002858.2","32256.1","-","-","P07355"
"ANXA2","NP_001129487.1","NM_001136015.2","10175.1","-","-","P07355"
"ANXA2","NP_004030.1","NM_004039.2","10175.1","-","-","P07355"
"ANXA4","NP_001144.1","NM_001153.3","1894.1","-","Q6LES2","P09525"
"ANXA8","NP_001035173.1","NM_001040084.1","31194.1","-","-","P13928"
"APC","NP_000029.2","NM_000038.4","4107.1","-","-","P25054 "
"APC","NP_001120982.1","NM_001127510.1","4107.1","-","Q4LE70 ","P25054 "
"APC","NP_001120983.1","NM_001127511.1","4107.1","-","-","P25054 "
"APLP2","NP_001135748.1","NM_001142276.1","44773.1","-","-","Q06481"
"APLP2","NP_001135749.1","NM_001142277.1","44774.1","-","B4E3I5","Q06481"
"APLP2","NP_001135750.1","NM_001142278.1","44775.1","-","-","Q06481"
"APLP2","NP_001633.1","NM_001642.2","8486.1","-","-","Q06481"
"APOC1","NP_001636.1","NM_001645.3","12648.1","-","B2R526","P02654"
"APOD","NP_001638.1","NM_001647.3","33925.1","-","-","P05090"
"APOL2","NP_112092.1","NM_030882.2","43014.1","-","-","Q9BQE5"
"APOL2","NP_663612.1","NM_145637.1","43014.1","-","-","Q9BQE5"
"AQP3","NP_004916.1","NM_004925.3","6542.1","-","-","Q92482"
"ARHGAP12","NP_060757.4","NM_018287.5","7170.1","-","-","Q8IWW6"
"ARHGAP8","NP_001017526.1","NM_001017526.1","33664.1","-","Q6PJW1","P85298"
"ARHGAP8","NP_851852.2","NM_181335.2","14060.2","-","Q6PJW1","P85298"
"PYCARD","NP_037390.2","NM_013258.3","10708.1","-","-","Q9ULZ3"
"PYCARD","NP_660183.1","NM_145182.1","10709.1","-","-","Q9ULZ3"
"ASXL1","NP_056153.2","NM_015338.4","13201.1","-","-","Q8IXJ9"
"ATIC","NP_004035.2","NM_004044.5","2398.1","2.1.2.3; 3.5.4.10","-","P31939"
"ATP9A","NP_006036.1","NM_006045.1","33489.1","3.6.3.1","-","O75110"
"B4GALT5","NP_004767.1","NM_004776.3","13420.1","2.4.1.38","-","O43286"
"BAG1","NP_004314.5","NM_004323.5","35004.1","-","- ","-"
"BANF1","NP_001137457.1","NM_001143985.1","8125.1","-","-","O75531"
"BANF1","NP_003851.1","NM_003860.3","8125.1","-","-","O75531"
"BASP1","NP_006308.3","NM_006317.3","3888.1","-","-","P80723"
"BAT2L2","NP_055987.2","NM_015172.3","-","-","-","Q9Y520"
"BCL2","NP_000624.2","NM_000633.2","11981.1","-","-","P10415"
"BCL2","NP_000648.2","NM_000657.2","45882.1","-","C9JHD5 ","-"
"BCL2L1","NP_001182.1","NM_001191.2","13188.1","-","Q5TE63","Q07817"
