"gene_name","pubmed_id","class","sample","remark"
"A2M","15047212","Upregulation","Department of Obsterics and Gynecology, University of Korea.","It is found to be expressed upregulated by 8.6 fold change in cervical cancer."
"ACADVL","20099975","-","-","ACADVL is involved in cervical carcinogenesis."
"ADAM9","19473694","-","Department of Obsterics and Gynecology, University of Heidelberg","ADMA9 id detected in 86% CIN3 lesions and  in 93% squamous cell carcinomas of the uterine cervix. ADAM9 expression is low in the squamous epithelium of the cervix, but is increased in CIN3 lesions as well asSCCs being theincrease in both cases statistically significant."
"ADRM1","18506748","Overexpression","Columbia University Medical Center (CUMC), NewYork.","This gene is overexpressed as a consequence of chromosome 20q gain and amplification in cervical cancer. And overexpressed as 2.6 fold on comparison between normal cervical squamous epithelium and tumors with chromosome 20 and 20q gain. "
"AEBP1","15047212","Upregulation","Department of Obsterics and Gynecology, University of Korea.","It is found to be expressed upregulated by 13.9 fold change in cervical cancer."
"AHCY","18506748","Overexpression","Columbia University Medical Center (CUMC), NewYork.","This gene is overexpressed as a consequence of chromosome 20q gain and amplification in cervical cancer. And overexpressed as 3.8 fold on comparison between normal cervical squamous epithelium and tumors with chromosome 20 and 20q gain. "
"AIM2","18217980","Upregulation","Department of Obstertics and Gynecology, Kora University Anam Hospital, Seoul, Soth Korea","This gene is found to be twofold or more upregulated in the invasive cervical cancer compared with the CIS. "
"AKT1","17242701","Upregulation","Gynecological Cancer Centre of St bartholomew's Hospital and the Department of Obsterics and Gynecology of the Clinical Centre of Serbia.","It is commonly upregulated in LN micrometastases in cervical cancer. AKT plays a central role in epithelial-mesenchymal transition a critical feature in cancer invasion and metastasis by reducing intercellular adhesion and increasing cancer cell motility"
"AKT1","10493495","-","-","Phosphorylation of AKT is involved in the human cervical carcinoma cells."
"AKT1","18686341","Overexpression","Department of Pathology, University od Wurzburg.","Expression of AKT increased significantly with the histopathological grade of cervical neoplasia, including LGSIL, HGSIL, and cervical cancer."
"ALDH7A1","15047212","Downregulation","Department of Obsterics and Gynecology, University of Korea.","It is found to be expressed downregulated by -4.1 fold change in cervical cancer."
"ALOX12","10446449","Downregulation","Gynaecology Unit of Benjamin Franklin University Medical Centre, berlin","The 12-lipoxygenase activity, expressed as 12-HETE formation,  is lower in patients with invasive cervical carcinoma."
"ALOX12","16353136","-","Department of Obstercis and Gynaecology, Prince of Wales Hospital, The Chinese University of Hong Kong, Hong Kong.","ALOX12 is reported to be modified in cervical cancer."
"ALOX12B","16353136","-","Department of Obstercis and Gynaecology, Prince of Wales Hospital, The Chinese University of Hong Kong, Hong Kong.","It is found to be differential expressed in HPV-16 infected case"
"ANG","16450401","Upregulation","Chang Gung Memorial Hospital","It is found to be expressed upregulated by 1.66 fold change in adenocarcinoma as compared to squamous cell carcinoma (p<0.0001)."
"ANLN","18191186","Upregulation","Academic Medical Center, Amsterdam","This actin binding protein is found to be overexpressed in cervical cancer as well as in other tumors like breast tumors, gastric etc."
"ANXA1","16450401","Upregulation","Chang Gung Memorial Hospital","It is found to be expressed upregulated by 6.21 fold change in squamous carcinoma as compared to adenocarinoma (p<0.0001)."
"ANXA2","17543121","Downregulation","Vancouver General Hospital Women's Clinic, Vancouver Hospital & Health Science Centre.","It exhibited decreased expression in CIN III(z<-1.96)"
