"gene_name","gene_id","gene_desc","chromosome","aliases","int_protein"
"A2M","2","alpha-2-macroglobulin","12","CPAMD5;  FWP007;  S863-7;  DKFZp779B086;  A2M","ADAM19, ADAMTS1, AMBP, ANXA6, APOE, ATF7IP, B2M, C11orf58, CELA1, CTSB, CTSE, HSPA5, IL10, IL1B, KLK2, KLK3, LCAT, LEP, LRP1, LYZ, MMP2, MYOC, NGF, PAEP, PDGFA, PDGFB, SHBG, TGFBI, (Ca2+)"
"ACADVL","37","acyl-CoenzymeA dehydrogenase, very long chain","17","ACAD6; LCACD; VLCAD; ACADVL","ACADVL, ACADVL, (DNA)"
"ADAM9","8754","ADAM metallopeptidase domain 9","8","MCMP;  MDC9;  CORD9;  Mltng;  KIAA0021;  ADAM9","ITGA3, ITGA6, ITGAV, MAD2L2, PRKCD, SH3D19, SH3GLB1, SNX9, TNF, (DNA)"
"ADRM1","11047","adhesion regulating molecule 1","20","ARM1;  GP110;  Rpn13;  MGC29536;  ADRM1","DDI1, PSMD1, PSMD14, PSMD2, PSMD4, PSMD4, RAD23A, RAD23B, RPN1, RPN2, UBQLN1, UBQLN2, UCHL5, (DNA)"
"AEBP1","165","AE binding protein 1","7","ACLP; FLJ33612; AEBP1","TCF3, (DNA)"
"AHCY","191","adenosyl homo cysteinase","20","SAHH;  AHCY","AHCY, AHCY, (DNA)"
"AIM2","9447","absent in melanoma 2","1","PYHIN4;  AIM2","-"
"AKT1","207","v-aktmurine thymoma viral oncogene homolog1","14","AKT; PKB; RAC; PRKBA; MGC99656; PKB-ALPHA; RAC-ALPHA; AKT1","AHNAK, AKT1, AKT1, AKT1S1, AKT2, AKTIP, APLP2, APPL1, AR, ATXN1, BAD, BCL10, BCL2L11, BRAF, BRCA1, CAMKK1, CASP3, CASP9, CCDC88A, CDKN1A, CDKN1B, CHEK1, CHUK, CREB1, DLC1, EIF4EBP1, EP300, ESR1, ESR2, EZH2, FANCA, FOXO1, FOXO3, FOXO4, GAB2, GATA1, GATA2, GRB10, GSK3A, GSK3B, HIST2H2BE, HMOX1, HSP90AA1, HSP90AB1, HTT, IKBKB, ILK, IMPDH2, IRAK1, IRS1, ITGB3, KRT10, MAP2K4, MAP3K11, MAP3K5, MAP3K8, MAPK8IP1, MAPKAPK2, MDM2, MDM4, METTL1, MS4A2, MST1R, MTCP1, MTOR, NCF1, NOS3, NR4A1, PAK1, PDE3B, PDK2, PDPK1, PEA15, PFKFB2, PHB2, PIK3R1, PKN2, PLXNA1, PPARGC1B, PPL, PPM1A, PPP2CA, PRG2, PRKCQ, PRKCZ, PRKDC, PTEN, PTPN1, RAB3D, RAC1, RAF1, RHEBL1, RPS6KB1, S1PR1, SH2B2, SMAD2, SMAD3, SMAD4, SMAD7, SORBS2, SRC, STAT1, TCL1A, TCL1B, TCL6, TERT, THEM4, TNFSF11, TOPBP1, TRIB3, TSC1, TSC2, UXS1, VEGFA, WNK1, XIAP, YAP1, YBX1, YWHAZ, (DNA )"
"ALDH7A1","501","aldehyde dehydrogenase 7 family, member A1 ","5","EPD;  PDE;  ATQ1;  FLJ11738;  FLJ92814;  ALDH7A1","RECQL5, (Zinc Ion (Zn2+))"
"ALOX12","239","arachidonate12-lipoxygenase","17","12-LOX; 12S-LOX; LOG12; ALOX12","ITGB4, KAT5, KRT5, KRT85, LMNA, PLA2G2A, TRIB1, (Hyaluronate)"
"ALOX12B","242","arachidonate12-lipoxygenase,12Rtype","17","12R-LOX; ALOX12B","KRT5, LMNA, (DNA)"
"ANG","283","angiogenin, ribonuclease, RNase A family, 5","14","ALS9;  HEL168;  RNASE4;  RNASE5;  MGC22466;  MGC71966;  ANG","ACTC1, ACTN2, ATP6AP1, PTEN, RNH1, TDGF1, TNFSF8, (DNA)"
"ANLN","54443","anillin, actin binding protein","7","scra;  Scraps;  DKFZp779A055;  ANLN","SEPT7, (mRNA Methotrexate)"
"ANXA1","301","annexin A1","9","ANX1;  LPC1;  ANXA1","DYSF, EGFR, FPR1, KRT8, PRKCI, S100A11, SRC, TGM2, TRPM7, (DNA)"
"ANXA2","302","annexin A2","15","P36;  ANX2;  LIP2;  LPC2;  CAL1H;  LPC2D;  ANX2L4;  PAP-IV;  ANXA2","APOH, CD99, CDC42, CEACAM1, CTSB, DYSF, GRB2, LGALS13, LYPLA1, MAP3K4, MYOC, PHB, PLA1A, PLAT, PLG, PRKCA, PRKCB, S100A10, S100A4, S100A6, SRC, (DNA)"
"ANXA4","307","annexin A4","2","ANX4;  PIG28;  ZAP36;  MGC75105;  DKFZp686H02120;  ANXA4","GP2, (DNA)"
"ANXA8","653145","annexin A8","10","ANX8;  FLJ53095;  ANXA8","-"
"APC","324","adenomatous polyposiscoli","5","BTPS2; DP2; DP2.5; DP3; GS; APC","APC, APC, ARHGEF4, AXIN1, AXIN2, BUB1, CSNK1E, CTBP1, CTNNB1, DLGAP1, GSK3B, IQGAP1, JUP, KIFAP3, MAPRE1, MUC1, PPP2CA, PPP2R5A, PRKACA, PTPN13, RP1, SIAH1, TFAP2A, TUBA4A, (DNA)"
"APLP2","334","amyloid beta (A4) precursor-like protein 2","11","APPH;  APPL2;  CDEBP;  APLP2","AKT1, APBB1, APBB2, APBB3, APLP2, APLP2, CDK1, DAB1, HLA-A, PIK3CA, PRKCA, PRNP, (DNA)"
"APOC1","341","apolipoprotein C-I","19","APOC1","APOA2, APOC1, APOC1, (DNA)"
"APOD","347","apolipoprotein D","3","APOD","APOA2, GRINL1A, LEPR, (RNA Nitro oliec acid)"
"APOL2","23780","apolipoprotein L, 2","22","APOL3;  APOL-II;  APOL2","AR, (DNA)"
"AQP3","360","aquaporin 3 ","9","GIL;  AQP3","PLD2, (DNA)"
"ARHGAP12","94134","ARHGAP12 Rho GTPase activating protein 12 ","10","FLJ10971; FLJ20737; FLJ21785; FLJ45709; DKFZp779N2050; ARHGAP12","-"
"ARHGAP8","23779","Rho GTPase activating protein 8","22","PP610;  BPGAP1;  FLJ20185;  ARHGAP8","BNIP2, CTTN, RHOA, SH3GL1, (DNA)"
"ASXL1","171023","additional sex combs like 1 (Drosophila)","20","KIAA0978;  MGC71111;  MGC117280;  ASXL1","-"
"ATIC","471","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","2","PURH;  AICAR;  AICARFT;  FLJ93545;  IMPCHASE;  ATIC","ATIC, ATIC, (ODC mRNA)"
"ATP9A","10079","ATPase, class II, type 9A","20","ATPIIA;  KIAA0611;  ATP9A","-"
"B4GALT5","9334","UDP-Gal:beta GlcNAc beta 1,4- galactosyltransferase, polypeptide 5","20","gt-V;  B4Gal-T5;  MGC138470;  beta4Gal-T5;  beta4GalT-V;  BETA4-GALT-IV;  B4GALT5","-"
"BAG1","573","BCL2-associatedathanogene","9","HAP; RAP46; BAG1","AR, BCL2, BCL2L1, ESR1, HBEGF, HSPA1A, HSPA1B, HSPA8, MET, NR3C1, PDGFRB, PPP1R15A, PSMD1, RAF1, RARA, RB1, SIAH1, STUB1, VDR, (Heparin Heparan sulfate)"
"BANF1","8815","barrier to autointegration factor 1","11","BAF;  BCRP1;  D14S1460;  MGC111161;  BANF1","BANF1, BANF1, CRX, EMD, TMPO, (DNA)"
"BASP1","10409","brain abundant, membrane attached signal protein 1","5","CAP23; NAP22; CAP-23; NAP-22; MGC8555; BASP1","-"
"BAT2L2","23215","HLA-B associated transcript 2-like 2","1","XTP2; BAT2D1; BAT2-iso; BAT2L2","-"
