"cancertype","tissue","code","number","numbergt"
"Acute Myeloid Leukemia","Blood Cell","1","173","244"
"Adrenocortical carcinoma","Adrenal Gland","2","79","52"
"Bladder Urothelial Carcinoma","Bladder","3","252","11"
"Brain Lower Grade Glioma","Brain","4","449","357"
"Breast invasive carcinoma","Breast","5","1032","66"
"Cervical squamous cell carcinoma and endocervical ","Cervical","6","241","9"
"Colon adenocarcinoma","Colon","8","423","74"
"Esophageal carcinoma ","Esophagus","9","125","227"
"Glioblastoma multiforme","Brain","10","166","357"
"Kidney Chromophobe","Kidney","12","66","8"
"Kidney renal clear cell carcinoma","Kidney","13","519","8"
"Liver hepatocellular carcinoma","Liver","15","235","34"
"Lung adenocarcinoma","Lung","16","469","133"
"Lung squamous cell carcinoma","Lung","17","425","133"
"Ovarian serous cystadenocarcinoma","Ovary","20","266","35"
"Pancreatic adenocarcinoma","Pancreatic","21","111","62"
"Pheochromocytoma and Paraganglioma","Nerve","22","0","114"
"Prostate adenocarcinoma","Prostate","23","353","42"
"Skin Cutaneous Melanoma","Skin","26","375","322"
"Stomach adenocarcinoma","Stomach","27","285","80"
"Thyroid carcinoma","Thyroid","30","502","120"
"Uterine Corpus Endometrial Carcinoma","Uterus","32","507","36"
