"gene_name","homologene_id","species","gene","mrna","protein"
"A2M","37248","H.sapiens","A2M","NM_000014.4","NP_000005.2"
"A2M","37248","P.troglodytes","A2M","XM_001139819.1","XP_001139819.1"
"A2M","37248","C.lupus","A2M","XM_534893.2","XP_534893.2"
"A2M","37248","B.taurus","A2M","NM_001109795.1","NP_001103265.1"
"A2M","37248","M.musculus","A2m","NM_175628.2","NP_783327.1"
"A2M","37248","R.norvegicus","A2m","NM_012488.1","NP_036620.1"
"A2M","37248","G.gallus","A2M","XM_416476.2","XP_416476.2"
"A2M","37248","D.rerio","LOC1000068","XM_001923641.1","XP_001923676.1"
"A2M","37248","D.rerio","zgc:165518","NM_001100153.1","NP_001093623.1"
"A2M","37248","D.rerio","si:dkey-46","XM_001922868.1","XP_001922903.1"
"A2M","37248","D.rerio","LOC793100","XM_001332320.2","XP_001332356.1"
"A2M","37248","D.rerio","zgc:171446","NM_001114556.1","NP_001108028.1"
"A2M","37248","D.rerio","LOC1000067","XM_001345402.2","XP_001345438.2"
"A2M","37248","D.rerio","a2ml","XM_001345520.2","XP_001345556.2"
"A2M","37248","D.rerio","sb:cb37","XM_001345505.2","XP_001345541.2"
"A2M","37248","D.rerio","LOC569025","XM_692385.3","XP_697477.3"
"A2M","37248","D.rerio","LOC1000037","XM_001921484.1","XP_001921519.1"
"A2M","37248","D.rerio","zgc:171445","NM_001113629.1","NP_001107101.1"
"A2M","37248","D.rerio","si:dkey-46","NM_001114716.1","NP_001108188.1"
"A2M","37248","D.rerio","wu:fb68b01","XM_001345533.2","XP_001345569.2"
"A2M","37248","D.rerio","LOC1000069","XM_001921542.1","XP_001921577.1"
"A2M","37248","D.rerio","zgc:171426","NM_001114700.1","NP_001108172.1"
"ACADVL","5","H.sapiens","ACADVL","NM_000018.2","NP_000009.1"
"ACADVL","5","C.lupus","ACADVL","XM_546581.2","XP_546581.2"
"ACADVL","5","B.taurus","ACADVL","NM_174494.2","NP_776919.1"
"ACADVL","5","M.musculus","Acadvl","NM_017366.2","NP_059062.1"
"ACADVL","5","R.norvegicus","Acadvl","NM_012891.1","NP_037023.1"
"ACADVL","5","D.rerio","acadvl","NM_212611.1","NP_997776.1"
"ACADVL","5","D.melanogaster","CG7461","NM_137565.1","NP_611409.1"
"ACADVL","5","A.gambiae","AgaP_AGAP0","XM_314893.4","XP_314893.4"
"ACADVL","5","C.elegans","acdh-12","NM_001026891.3","NP_001022062.1"
"ADAM9 ","20824","H.sapiens","ADAM9","NM_003816.2","NP_003807.1"
"ADAM9 ","20824","P.troglodytes","ADAM9","XM_519719.2","XP_519719.2"
"ADAM9 ","20824","C.lupus","ADAM9","XM_532798.2","XP_532798.2"
"ADAM9 ","20824","B.taurus","ADAM9","XM_614306.4","XP_614306.4"
"ADAM9 ","20824","M.musculus","Adam9","NM_007404.1","NP_031430.1"
"ADAM9 ","20824","R.norvegicus","Adam9","NM_001014772.1","NP_001014772.1"
"ADAM9 ","20824","G.gallus","ADAM9","NM_001031396.1","NP_001026567.1"
"ADAM9 ","20824","D.rerio","zgc:174164","NM_001114439.1","NP_001107911.1"
"ADRM1","10513","H.sapiens ","ADRM1 ","NM_175573.1 ","NP_783163.1"
"ADRM1","10513","C.lupus ","ADRM1 ","XM_534476.2 ","XP_534476.2"
"ADRM1","10513","B.taurus ","ADRM1 ","NM_001080282.1 ","NP_001073751.1"
"ADRM1","10513","M.musculus ","Adrm1 ","NM_019822.3 ","NP_062796.2"
"ADRM1","10513","R.norvegicus ","Adrm1 ","NM_031708.1 ","NP_113896.1"
"ADRM1","10513","G.gallus ","ADRM1 ","NM_204651.1 ","NP_989982.1"
"ADRM1","10513","D.rerio ","adrm1b ","NM_201013.2 ","NP_957307.2"
"ADRM1","10513","D.melanogaster ","CG13349 ","NM_137073.2 ","NP_610917.1"
"ADRM1","10513","A.gambiae ","AgaP_AGAP0","XM_001689037.1 ","XP_001689089.1"
"ADRM1","10513","C.elegans ","C56G2.7 ","NM_065986.5 ","NP_498387.2"
"ADRM1","10513","S.pombe ","SPBC342.04","NM_001023767.1 ","NP_596747.1"
"ADRM1","10513","A.thaliana ","AT2G26590 ","NM_128216.2 ","NP_565626.1"
"ADRM1","10513","O.sativa ","Os05g05948","NM_001063044.1 ","NP_001056509.1"
"AEBP1","878","H.sapiens","AEBP1","NM_001129.3","NP_001120.3"
"AEBP1","878","M.musculus","Aebp1","NM_009636.1","NP_033766.1"
"AEBP1","878","R.norvegicus","Aebp1","XM_223583.4","XP_223583.4"
"AEBP1","878","D.rerio","LOC793308","XM_001920851.1","XP_001920886.1"
"AEBP1","878","D.rerio","si:ch1073-","XM_690930.3","XP_696022.3"
