"gene_name","protein_id","swissprot_id","pdb_id","method","resol","chain","position"
"A2M","NP_000005.2","P01023","1BV8","NMR","-","A","1337-1474"
"A2M","NP_000005.2","P01023","2P9R","X-ray","2.3","A/B","126-227"
"ACADVL","NP_000009.1","P49748 ","2UXW","X-ray","1.45","A","72-655"
"ACADVL","NP_000009.1","P49748 ","3B96","X-ray","1.91","A","69-655"
"ACADVL","NP_001029031.1","P49748 ","2UXW","X-ray","1.45","A","72-655"
"ACADVL","NP_001029031.1","P49748 ","3B96","X-ray","1.91","A","69-655"
"ADAM9","NP_003807.1","Q13443","1M1V","model","-","A","208-404"
"ADAM9","NP_001005845.1","Q13443","1M1V","model","-","A","208-404"
"ADRM1","NP_008933.2","Q16186","2KR0","NMR","-","A","1-407"
"ADRM1","NP_008933.2","Q16186","2KQ2","NMR","-","A","253-407"
"ADRM1","NP_783163.1","Q16186","2KR0","NMR","-","A","1-407"
"ADRM1","NP_783163.1","Q16186","2KQ2","NMR","-","A","253-407"
"AEBP1","NP_001120.3","Q8IUX7","-","-","-","-","-"
"AHCY","NP_000678.1","P23526","1A7A","X-ray","2.8","A/B","1-432"
"AHCY","NP_000678.1","P23526","1LI4","X-ray","2.01","A","1-432"
"AIM2","NP_004824.1","O14862","-","-","-","-","-"
"AKT1","NP_001014431.1","P31749","1H10","X-ray","1.4","A","1-123"
"AKT1","NP_001014431.1","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","NP_001014431.1","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","NP_001014431.1","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","NP_001014431.1","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","NP_001014431.1","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","NP_001014431.1","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","NP_001014431.1","P31749","3CQU","X-ray","2.2","A","144-480"
"AKT1","NP_001014431.1","P31749","3CQW","X-ray","2","A","144-480"
"AKT1","NP_001014432.1","P31749","1H10","X-ray","1.4","A","1-123"
"AKT1","NP_001014432.1","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","NP_001014432.1","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","NP_001014432.1","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","NP_001014432.1","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","NP_001014432.1","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","NP_001014432.1","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","NP_001014432.1","P31749","3CQU","X-ray","2.2","A","144-480"
"AKT1","NP_001014432.1","P31749","3CQW","X-ray","2","A","144-480"
"AKT1","NP_005154.2","P31749","1H10","X-ray","1.4","A","1-123"
"AKT1","NP_005154.2","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","NP_005154.2","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","NP_005154.2","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","NP_005154.2","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","NP_005154.2","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","NP_005154.2","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","NP_005154.2","P31749","3CQU","X-ray","2.2","A","144-480"
"AKT1","NP_005154.2","P31749","3CQW","X-ray","2","A","144-480"
"ALDH7A1","NP_001173.2","P49419","2J6L","X-ray","1.3","A/B/C/D/E/F/G/H","30-526"
"ALOX12","NP_000688.2","P18054 ","2ABU","model","-","A","2-663"
"ALOX12","NP_000688.2","P18054 ","3D3L","X-ray","2.6","A/B","172-662"
"ALOX12B","NP_001130.1","O75342 ","-","-","-","-","-"
"ANG","NP_001091046.1","P03950","1A4Y","X-ray","2","B/E","25-147"
"ANG","NP_001091046.1","P03950","1ANG","X-ray","2.4","A","25-147"
"ANG","NP_001091046.1","P03950","1AWZ","NMR","-","A","25-147"
"ANG","NP_001091046.1","P03950","1B1E","X-ray","2","A","25-147"
"ANG","NP_001091046.1","P03950","1B1I","X-ray","1.8","A","26-147"
"ANG","NP_001091046.1","P03950","1B1J","X-ray","2","A","25-147"
"ANG","NP_001091046.1","P03950","1GV7","X-ray","2.1","A","26-145"
"ANG","NP_001091046.1","P03950","1H0D","X-ray","2","C","26-147"
"ANG","NP_001091046.1","P03950","1H52","X-ray","2","A","26-147"
"ANG","NP_001091046.1","P03950","1H53","X-ray","2","A","26-147"
"ANG","NP_001091046.1","P03950","1HBY","X-ray","2","A","26-147"
