"gene_name","gene_id","contig","location","omim_id","hgnc_id","unigene_id","ensembl_id","pharmgkb_id","hprd_id","homologene_id","pubmed_id"
"A2M","2","NC_000012.11","9220304..9268558 complement","103950","7","212838","ENSG00000175899","PA24357","HPRD:00072","37248","15047212"
"ACADVL","37","NC_000017.10","7123153..7128585","609575","92","437178","ENSG00000072778","-","HPRD:01940","5","20099975"
"ADAM9","8754","NC_000008.10","38854505..38962780","602713","216","591852","ENSG00000168615","-","HPRD:04091","20824","19473694"
"ADRM1","11047","NC_000020.10","60878027..60883918","610650","15759","90107","ENSG00000130706","PA24599","HPRD:06440","10513","18506748"
"AEBP1","165","NC_000007.13","44143960..44154159","602981","303","439463","ENSG00000106624","PA24604","HPRD:04281","878","15047212"
"AHCY","191","NC_000020.10","32868076..32891123 complement","180960","343","388004","ENSG00000101444","PA24636","HPRD:01621","554","18506748"
"AIM2","9447","NC_000001.10","159032275..159046647 complement","604578","357","281898","ENSG00000163568","-","HPRD:05202","83226","18217980"
"AKT1","207","NC_000014.8","105235686..105262080 complement","164730","391","525622","ENSG00000142208","PA24684","HPRD:01261","3785","17242701"
"ALDH7A1","501","NC_000005.9","125878918..125931082 complement","107323","877","483239","ENSG00000164904","-","HPRD:00124","913","15047212"
"ALOX12","239","NC_000017.10","6899384..6914055","152391","429","654431","ENSG00000108839","-","HPRD:01066","560","10446449"
"ALOX12B","242","NC_000017.10","7975954..7991021 complement","603741","430","136574","ENSG00000179477","-","HPRD:04772","884","16353136"
"ANG","283","NC_000014.8","21152336..21162345","105850","483","283749","ENSG00000214274","PA24790","HPRD:00105","74385","16450401"
"ANLN","54443","NC_000007.13","36429432..36493400","0","14082","62180","ENSG00000011426","-","HPRD:09799","41281","18191186"
"ANXA1","301","NC_000009.11","75766781..75785307","151690","533","494173","ENSG00000135046","-","HPRD:01060","563","16450401"
"ANXA2","302","NC_000015.9","60639350..60690185 complement","151740","537","511605","ENSG00000182718","PA24827","HPRD:01061","20857","17543121"
